Grade,Subject,Domain,Topic,code,altered_code,desc,NYcode,NYdesc,CAcode,CAdesc,IDcode,IDdesc,OHcode,OHdesc,NJcode,NJdesc,MAcode,MAdesc,MEcode,MEdesc,NHcode,NHdesc,VTcode,VTdesc,CTcode,CTdesc,RIcode,RIdesc,DEcode,DEdesc,MDcode,MDdesc,WIcode,WIdesc,ILcode,ILdesc,WAcode,WAdesc,WYcode,WYdesc,LAcode,LAdesc,NVcode,NVdesc,HIcode,HIdesc,MTcode,MTdesc,ORcode,ORdesc,COcode,COdesc,KYcode,KYdesc,ARcode,ARdesc,KScode,KSdesc,MIcode,MIdesc,SDcode,SDdesc,NDcode,NDdesc,NMcode,NMdesc,UTcode,UTdesc,AKcode,AKdesc
1,Math,Operations And Algebraic Thinking,Add And Subtract Within 20,1.OA.C.5,1.OA.C.5,"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).",1.OA.5,,,,1.OA.C.5,,1.OA.5,,1.OA.C.5,,1.OA.C.5,,1.OA.C.5,,1.OA.C.5,,1.OA.C.5,,1.OA.5,,1.OA.C.5,,1.OA.C.5,,1.OA.C.5,,M.1.OA.C.5,,1.OA.C.5,,1.OA.C.5,,1.OA.C.5,,1.OA.C.5,,1.OA.C.5,,1.OA.C.5,,1.OA.5,,1.OA.C.5,,1.OA.C.5,,KY.1.OA.5,,1.OA.C.5,,1.OA.C.5,,1.OA.C.5,,1.OA.C.5,,1.OA.5,,1.OA.C.5,,1.OA.5,,1.OA.C.5,
1,Math,Operations And Algebraic Thinking,Add And Subtract Within 21,1.OA.C.6,1.OA.C.6,"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 - 4 = 13 - 3 - 1 = 10 - 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 - 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13).",1.OA.6,,,,1.OA.C.6,,1.OA.6,,1.OA.C.6,,1.OA.C.6,,1.OA.C.6,,1.OA.C.6,,1.OA.C.6,,1.OA.6,,1.OA.C.6,,1.OA.C.6,,1.OA.C.6,,M.1.OA.C.6,,1.OA.C.6,,1.OA.C.6,,1.OA.C.6,,1.OA.C.6,,1.OA.C.6,,1.OA.C.6,,1.OA.6,,1.OA.C.6,,1.OA.C.6,,KY.1.OA.6,,1.OA.C.6,,1.OA.C.6,,1.OA.C.6,,1.OA.C.6,,1.OA.6,,1.OA.C.6,,1.OA.6,,1.OA.C.6,
1,ELA,Speaking & Listening,Comprehension and Collaboration,SL.1.1,SL.1.1,Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups.,SL.1.1,,SL.1.1,"Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups. a. Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion). b. Build on others' talk in conversations by responding to the comments of others through multiple exchanges. c. Ask questions to clear up any confusion about the topics and texts under discussion.",SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,SL.1.1,,,,SL.1.1,,,,SL.1.1,,SL.1.1,,SL.1.1,,1.SL.1,,SL.1.1,,SL.1.1,,SL.1.1,,,
1,ELA,Speaking & Listening,Comprehension and Collaboration,SL.1.2,SL.1.2,Ask and answer questions about key details in a text read aloud or information presented orally or through other media.,SL.1.2,,SL.1.2,"Ask and answer questions about key details in a text read aloud or information presented orally or through other media. a. Give, restate, and follow simple two-step directions. CA",SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,SL.1.2,,,,SL.1.2,,,,SL.1.2,,SL.1.2,,SL.1.2,,1.SL.2,,SL.1.2,,SL.1.2,,SL.1.2,,,
1,ELA,Speaking & Listening,Comprehension and Collaboration,SL.1.3,SL.1.3,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.,SL.1.3,,SL.1.3,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,SL.1.3,,,,SL.1.3,,,,SL.1.3,,SL.1.3,,SL.1.3,,1.SL.3,,SL.1.3,,SL.1.3,,SL.1.3,,,
1,ELA,Language,Conventions of Standard English,L.1.1,L.1.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,L.1.1,,L.1.1,"Demonstrate command of the conventions of standard English grammar and usage when writing or speaking. a. Print all upper- and lowercase letters. b. Use common, proper, and possessive nouns. c. Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop). d. Use personal (subject, object), possessive, and indefinite pronouns (e.g., I, me, my; they, them, their; anyone, everything). CA e. Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home). f. Use frequently occurring adjectives. g. Use frequently occurring conjunctions (e.g., and, but, or, so, because). h. Use determiners (e.g., articles, demonstratives). i. Use frequently occurring prepositions (e.g., during, beyond, toward). j. Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.",L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,L.1.1,,,,L.1.1,,,,L.1.1,,L.1.1,,L.1.1,,1.L.1,,L.1.1,,L.1.1,,L.1.1,,,
1,ELA,Language,Conventions of Standard English,L.1.2,L.1.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",L.1.2,,L.1.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing a. Capitalize dates and names of people. b. Use end punctuation for sentences. c. Use commas in dates and to separate single words in a series. d. Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words. e. Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions.",L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,L.1.2,,,,L.1.2,,,,L.1.2,,L.1.2,,L.1.2,,1.L.2,,L.1.2,,L.1.2,,L.1.2,,,
1,ELA,Reading: Informational Text,Craft and Structure,RI.1.4,RI.1.4,Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.,RI.1.4,,RI.1.4,Ask and answer questions to help determine or clarify the meaning of words and phrases in a text. (See grade 1 Language standards 4-6 for additional expectations.) CA,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,RI.1.4,,,,RI.1.4,,,,RI.1.4,,RI.1.4,,RI.1.4,,1.RI.4,,RI.1.4,,RI.1.4,,RI.1.4,,,
1,ELA,Reading: Informational Text,Craft and Structure,RI.1.5,RI.1.5,"Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text.",RI.1.5,,RI.1.5,"Know and use various text structures (e.g., sequence) and text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text. CA",RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,RI.1.5,,,,RI.1.5,,,,RI.1.5,,RI.1.5,,RI.1.5,,1.RI.5,,RI.1.5,,RI.1.5,,RI.1.5,,,
1,ELA,Reading: Informational Text,Craft and Structure,RI.1.6,RI.1.6,Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.,RI.1.6,,RI.1.6,Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,RI.1.6,,,,RI.1.6,,,,RI.1.6,,RI.1.6,,RI.1.6,,1.RI.6,,RI.1.6,,RI.1.6,,RI.1.6,,,
